Produkt,Data,Ilosc,Cena_za_sztuke,Przychod
Laptop,2024-05-06,3,640.9,1922.6999999999998
Telefon,2024-02-02,1,2589.24,2589.24
Tablet,2024-01-11,4,2064.94,8259.76
Klawiatura,2024-10-10,3,2162.33,6486.99
Telefon,2024-10-28,3,756.84,2270.52
Telefon,2024-01-04,4,378.91,1515.64
Laptop,2024-12-28,1,2103.72,2103.72
Myszka,2024-01-31,4,1601.48,6405.92
Telefon,2024-02-04,4,498.81,1995.24
Laptop,2024-06-18,4,2232.13,8928.52
Laptop,2024-09-20,2,2781.61,5563.22
Telefon,2024-05-22,2,2117.77,4235.54
Myszka,2024-09-05,3,2013.95,6041.85
Telefon,2024-10-03,2,2948.29,5896.58
Telefon,2024-10-19,4,1635.99,6543.96
Klawiatura,2024-08-30,2,2989.14,5978.28
Telefon,2024-08-30,2,2701.93,5403.86
Monitor,2024-04-07,1,2659.65,2659.65
Laptop,2024-02-19,3,1083.19,3249.57
Myszka,2024-08-08,3,2131.04,6393.12
Tablet,2024-08-04,4,2701.62,10806.48
Monitor,2024-08-27,4,1273.07,5092.28
Myszka,2024-01-28,1,1961.89,1961.89
Myszka,2024-11-30,3,2813.34,8440.02
Myszka,2024-02-20,4,2705.81,10823.24
Laptop,2024-07-25,4,1783.99,7135.96
Myszka,2024-06-22,4,394.27,1577.08
Laptop,2024-05-07,3,2923.63,8770.89
Telefon,2024-04-07,2,566.34,1132.68
Klawiatura,2024-08-17,2,1508.28,3016.56
Telefon,2024-08-04,3,1990.69,5972.07
Telefon,2024-05-22,1,610.18,610.18
Monitor,2024-05-07,4,788.02,3152.08
Laptop,2024-08-14,1,618.59,618.59
Klawiatura,2024-02-20,4,1983.94,7935.76
Laptop,2024-11-29,3,2190.73,6572.1900000000005
Klawiatura,2024-01-08,4,1748.09,6992.36
Laptop,2024-05-01,4,1575.56,6302.24
Telefon,2024-07-27,2,869.09,1738.18
Monitor,2024-09-03,2,1810.63,3621.26
Telefon,2024-07-24,2,1239.98,2479.96
Laptop,2024-03-25,2,2727.69,5455.38
Monitor,2024-01-02,3,2404.95,7214.849999999999
Monitor,2024-05-15,2,1970.8,3941.6
Monitor,2024-05-26,3,1528.3,4584.9
Monitor,2024-12-22,1,767.54,767.54
Myszka,2024-10-11,4,914.24,3656.96
Myszka,2024-09-06,3,2328.81,6986.43
Telefon,2024-04-07,4,613.62,2454.48
Tablet,2024-04-21,4,1462.84,5851.36
Laptop,2024-10-23,2,2753.11,5506.22
Myszka,2024-10-04,3,2268.38,6805.14
Laptop,2024-06-09,1,2792.12,2792.12
Laptop,2024-01-26,1,1703.02,1703.02
Klawiatura,2024-09-01,3,2894.5,8683.5
Klawiatura,2024-09-28,1,318.5,318.5
Telefon,2024-01-30,1,1216.78,1216.78
Klawiatura,2024-02-11,3,878.58,2635.7400000000002
Telefon,2024-02-05,3,591.53,1774.59
Klawiatura,2024-02-04,1,1244.61,1244.61
Myszka,2024-04-30,2,2118.49,4236.98
Monitor,2024-03-02,4,304.21,1216.84
Klawiatura,2024-05-06,2,1883.52,3767.04
Klawiatura,2024-10-31,2,1140.08,2280.16
Laptop,2024-11-13,3,1603.16,4809.4800000000005
Laptop,2024-08-02,2,1035.4,2070.8
Myszka,2024-10-25,4,2121.35,8485.4
Klawiatura,2024-09-24,3,2155.84,6467.52
Tablet,2024-05-13,3,951.42,2854.2599999999998
Telefon,2024-12-08,3,1317.36,3952.08
Myszka,2024-06-09,2,2614.51,5229.02
Telefon,2024-05-15,1,336.62,336.62
Monitor,2024-03-08,3,1554.4,4663.200000000001
Myszka,2024-11-26,1,663.39,663.39
Tablet,2024-08-22,4,2135.7,8542.8
Tablet,2024-02-07,4,247.23,988.92
Laptop,2024-08-22,3,1080.19,3240.57
Klawiatura,2024-10-15,4,1778.71,7114.84
Laptop,2024-02-07,4,1777.01,7108.04
Klawiatura,2024-04-19,2,1051.64,2103.28
Klawiatura,2024-05-15,2,1673.67,3347.34
Telefon,2024-06-27,1,2532.91,2532.91
Laptop,2024-05-05,2,188.45,376.9
Tablet,2024-05-25,4,212.62,850.48
Telefon,2024-08-12,3,1144.55,3433.6499999999996
Klawiatura,2024-12-26,4,1047.29,4189.16
Tablet,2024-11-09,4,2332.98,9331.92
Myszka,2024-09-27,4,2899.23,11596.92
Laptop,2024-12-07,3,347.51,1042.53
Klawiatura,2024-06-02,1,663.7,663.7
Myszka,2024-02-23,2,1667.84,3335.68
Telefon,2024-05-15,3,501.22,1503.66
Laptop,2024-02-24,4,2929.97,11719.88
Myszka,2024-10-10,4,2172.33,8689.32
Telefon,2024-05-19,3,2406.04,7218.12
Tablet,2024-11-05,3,1357.21,4071.63
Telefon,2024-06-24,2,327.52,655.04
Telefon,2024-12-17,1,634.57,634.57
Myszka,2024-05-15,2,2524.34,5048.68
Klawiatura,2024-09-07,1,2096.65,2096.65
Tablet,2024-01-27,1,602.55,602.55
Laptop,2024-11-20,1,1382.82,1382.82
Monitor,2024-05-21,4,1692.76,6771.04
Laptop,2024-01-02,4,630.31,2521.24
Tablet,2024-03-07,1,911.81,911.81
Myszka,2024-05-14,4,1598.42,6393.68
Telefon,2024-08-14,4,1707.63,6830.52
Klawiatura,2024-12-27,2,2217.11,4434.22
Monitor,2024-10-14,3,818.42,2455.2599999999998
Laptop,2024-02-27,4,560.07,2240.28
Laptop,2024-12-19,2,141.74,283.48
Telefon,2024-10-06,2,366.22,732.44
Laptop,2024-07-08,3,218.11,654.33
Klawiatura,2024-10-09,2,2940.58,5881.16
Telefon,2024-08-08,1,1475.1,1475.1
Telefon,2024-01-22,2,2313.76,4627.52
Tablet,2024-07-05,1,1473.07,1473.07
Laptop,2024-07-02,1,1447.55,1447.55
Telefon,2024-12-15,1,1255.66,1255.66
Telefon,2024-12-07,2,2852.52,5705.04
Laptop,2024-06-30,4,231.38,925.52
Klawiatura,2024-07-27,3,144.38,433.14
Klawiatura,2024-03-20,3,1559.1,4677.299999999999
Telefon,2024-03-24,1,1664.19,1664.19
Telefon,2024-07-30,1,572.51,572.51
Laptop,2024-04-01,4,2837.29,11349.16
Myszka,2024-06-19,2,176.88,353.76
Monitor,2024-12-08,4,1945.57,7782.28
Myszka,2024-05-07,4,1768.88,7075.52
Tablet,2024-03-22,2,1762.76,3525.52
Myszka,2024-02-25,1,1428.93,1428.93
Monitor,2024-01-20,3,2479.85,7439.549999999999
Monitor,2024-04-23,4,1219.7,4878.8
Telefon,2024-08-23,1,1989.31,1989.31
Tablet,2024-06-05,3,667.79,2003.37
Telefon,2024-04-24,1,722.31,722.31
Laptop,2024-12-03,2,152.84,305.68
Telefon,2024-07-23,3,1892.94,5678.82
Tablet,2024-05-22,3,306.45,919.3499999999999
Laptop,2024-05-22,4,1217.65,4870.6
Tablet,2024-11-24,2,167.49,334.98
Klawiatura,2024-07-23,2,856.01,1712.02
Myszka,2024-10-01,3,442.68,1328.04
Tablet,2024-01-15,1,1110.18,1110.18
Laptop,2024-05-13,3,2644.67,7934.01
Telefon,2024-10-24,4,1312.04,5248.16
Tablet,2024-01-20,1,917.9,917.9
Laptop,2024-11-01,2,1328.07,2656.14
Monitor,2024-06-25,4,2439.82,9759.28
Myszka,2024-06-09,1,2221.78,2221.78
Monitor,2024-11-06,4,1178.85,4715.4
Klawiatura,2024-02-29,3,1783.58,5350.74
Monitor,2024-10-22,3,2799.2,8397.599999999999
Telefon,2024-05-10,1,791.93,791.93
Laptop,2024-12-28,3,2277.53,6832.59
Monitor,2024-01-01,1,790.88,790.88
Klawiatura,2024-10-02,2,2717.4,5434.8
Myszka,2024-12-09,2,1540.03,3080.06
Telefon,2024-07-05,1,1028.14,1028.14
Monitor,2024-02-05,3,389.96,1169.8799999999999
Myszka,2024-06-18,4,131.43,525.72
Klawiatura,2024-06-09,1,2556.72,2556.72
Myszka,2024-03-04,1,1026.01,1026.01
Myszka,2024-06-02,2,2062.63,4125.26
Klawiatura,2024-06-07,4,1762.97,7051.88
Myszka,2024-07-28,3,341.52,1024.56
Tablet,2024-07-25,1,950.31,950.31
Myszka,2024-05-31,1,1705.74,1705.74
Klawiatura,2024-03-06,1,2281.89,2281.89
Telefon,2024-08-03,3,2365.76,7097.280000000001
Myszka,2024-07-13,3,364.5,1093.5
Myszka,2024-03-30,2,2925.32,5850.64
Klawiatura,2024-10-18,2,1693.63,3387.26
Tablet,2024-07-26,1,2237.4,2237.4
Klawiatura,2024-01-01,1,1117.65,1117.65
Tablet,2024-05-26,2,2909.09,5818.18
Telefon,2024-08-08,1,2308.38,2308.38
Klawiatura,2024-11-06,4,2613.92,10455.68
Myszka,2024-06-13,2,343.91,687.82
Monitor,2024-08-14,1,745.47,745.47
Monitor,2024-12-11,1,2483.39,2483.39
Telefon,2024-09-18,2,525.15,1050.3
Monitor,2024-03-27,1,346.03,346.03
Myszka,2024-02-13,3,1785.79,5357.37
Tablet,2024-09-20,1,1174.86,1174.86
Myszka,2024-11-20,4,786.39,3145.56
Klawiatura,2024-06-20,3,2959.4,8878.2
Laptop,2024-04-30,4,1115.63,4462.52
Myszka,2024-06-07,4,342.15,1368.6
Telefon,2024-04-11,1,1196.16,1196.16
Telefon,2024-01-13,3,1330.24,3990.7200000000003
Laptop,2024-05-05,2,1057.73,2115.46
Monitor,2024-11-08,2,1528.61,3057.22
Laptop,2024-08-21,1,1275.09,1275.09
Monitor,2024-11-18,2,263.28,526.56
Klawiatura,2024-04-09,4,2324.87,9299.48
Myszka,2024-12-22,3,1982.71,5948.13
Monitor,2024-09-10,1,2075.01,2075.01
Monitor,2024-05-04,4,2890.3,11561.2
Telefon,2024-12-01,3,1485.37,4456.11
Myszka,2024-01-03,1,2618.94,2618.94
Laptop,2024-08-05,2,1365.37,2730.74
Telefon,2024-03-31,2,135.25,270.5
Myszka,2024-09-22,4,1712.41,6849.64
Monitor,2024-01-26,3,2684.32,8052.960000000001
Klawiatura,2024-05-07,2,2781.47,5562.94
Laptop,2024-08-21,4,314.01,1256.04
Telefon,2024-08-25,3,2116.69,6350.07
Myszka,2024-09-28,1,1616.98,1616.98
Klawiatura,2024-10-31,1,728.75,728.75
Tablet,2024-08-14,3,1418.17,4254.51
Klawiatura,2024-09-15,1,2121.08,2121.08
Monitor,2024-10-07,3,2713.36,8140.08
Monitor,2024-03-22,1,2754.24,2754.24
Myszka,2024-08-31,2,2856.19,5712.38
Monitor,2024-05-12,4,1244.11,4976.44
Telefon,2024-11-22,4,1898.38,7593.52
Tablet,2024-09-23,4,592.07,2368.28
Monitor,2024-11-16,4,1444.73,5778.92
Telefon,2024-05-20,2,765.24,1530.48
Monitor,2024-02-09,4,325.43,1301.72
Myszka,2024-05-26,1,853.85,853.85
Telefon,2024-05-19,3,2124.67,6374.01
Tablet,2024-06-12,1,911.31,911.31
Klawiatura,2024-02-11,1,2460.01,2460.01
Telefon,2024-03-18,4,885.78,3543.12
Telefon,2024-07-15,1,2741.69,2741.69
Myszka,2024-03-19,1,2827.54,2827.54
Myszka,2024-04-19,3,2204.59,6613.77
Laptop,2024-07-31,3,2765.61,8296.83
Monitor,2024-06-18,2,2804.91,5609.82
Klawiatura,2024-08-26,2,1699.6,3399.2
Monitor,2024-02-01,1,176.46,176.46
Telefon,2024-08-03,1,2355.05,2355.05
Monitor,2024-10-26,2,2963.1,5926.2
Myszka,2024-01-11,1,1192.54,1192.54
Klawiatura,2024-07-13,2,1204.58,2409.16
Monitor,2024-01-04,2,2504.58,5009.16
Tablet,2024-06-01,1,2531.15,2531.15
Monitor,2024-08-02,2,206.78,413.56
Klawiatura,2024-10-06,3,892.88,2678.64
Klawiatura,2024-04-22,4,318.54,1274.16
Monitor,2024-04-22,4,2457.41,9829.64
Tablet,2024-08-11,3,2274.74,6824.219999999999
Monitor,2024-01-15,3,1710.75,5132.25
Monitor,2024-06-21,1,2205.75,2205.75
Myszka,2024-12-13,2,2563.98,5127.96
Monitor,2024-03-25,1,799.15,799.15
Monitor,2024-03-06,1,474.56,474.56
Klawiatura,2024-09-30,3,896.72,2690.16
Laptop,2024-07-20,4,763.06,3052.24
Klawiatura,2024-10-15,1,2295.3,2295.3
Myszka,2024-01-14,2,1138.67,2277.34
Laptop,2024-11-25,4,164.34,657.36
Monitor,2024-03-10,2,1608.89,3217.78
Monitor,2024-04-03,2,2510.98,5021.96
Laptop,2024-05-13,2,2571.33,5142.66
Monitor,2024-06-16,2,2907.12,5814.24
Telefon,2024-08-20,2,2642.3,5284.6
Tablet,2024-06-21,1,1810.87,1810.87
Monitor,2024-05-22,3,183.47,550.41
Monitor,2024-05-09,3,2375.54,7126.62
Laptop,2024-08-28,2,2141.83,4283.66
Laptop,2024-10-03,3,2719.14,8157.42
Laptop,2024-06-28,4,142.18,568.72
Telefon,2024-11-28,2,1863.45,3726.9
Laptop,2024-11-29,2,1237.51,2475.02
Laptop,2024-01-16,3,363.91,1091.73
Telefon,2024-04-12,2,1109.94,2219.88
Laptop,2024-11-14,2,1407.64,2815.28
Telefon,2024-05-02,3,1249.97,3749.91
Telefon,2024-08-30,3,1618.45,4855.35
Myszka,2024-02-28,1,2853.61,2853.61
Klawiatura,2024-04-21,4,1432.11,5728.44
Monitor,2024-12-24,1,1527.14,1527.14
Tablet,2024-07-07,4,292.08,1168.32
Telefon,2024-11-06,1,2942.09,2942.09
Klawiatura,2024-02-28,1,1107.5,1107.5
Telefon,2024-06-08,2,1936.86,3873.72
Laptop,2024-10-23,4,1090.53,4362.12
Laptop,2024-06-08,3,473.75,1421.25
Klawiatura,2024-12-12,3,1795.82,5387.46
Monitor,2024-07-22,3,502.6,1507.8000000000002
Myszka,2024-04-11,4,622.2,2488.8
Laptop,2024-10-30,4,1102.44,4409.76
Myszka,2024-11-17,3,2635.52,7906.5599999999995
Telefon,2024-02-22,3,2035.92,6107.76
Myszka,2024-06-03,2,1845.61,3691.22
Myszka,2024-11-03,3,218.52,655.5600000000001
Laptop,2024-10-16,1,1100.74,1100.74
Laptop,2024-06-26,2,613.33,1226.66
Klawiatura,2024-08-07,1,1691.27,1691.27
Myszka,2024-07-08,1,1436.26,1436.26
Laptop,2024-09-16,2,2693.23,5386.46
Myszka,2024-06-23,1,1559.91,1559.91
Laptop,2024-08-03,1,1032.59,1032.59
Monitor,2024-02-24,2,2418.29,4836.58
Monitor,2024-07-04,1,2094.58,2094.58
Myszka,2024-08-23,4,2633.38,10533.52
Myszka,2024-03-19,3,1194.13,3582.3900000000003
Monitor,2024-03-31,1,902.95,902.95
Myszka,2024-09-24,1,345.1,345.1
Myszka,2024-05-18,3,635.11,1905.33
Klawiatura,2024-10-02,3,1656.11,4968.33
Monitor,2024-08-26,4,1505.12,6020.48
Monitor,2024-10-30,2,2303.87,4607.74
Tablet,2024-06-14,2,1441.35,2882.7
Telefon,2024-02-14,1,280.79,280.79
Tablet,2024-08-18,3,832.07,2496.21
Telefon,2024-08-25,3,2092.78,6278.34
Klawiatura,2024-11-08,3,1583.86,4751.58
Myszka,2024-07-13,3,188.37,565.11
Tablet,2024-01-15,2,1397.5,2795.0
Monitor,2024-06-15,3,1251.78,3755.34
Telefon,2024-09-06,4,880.81,3523.24
Telefon,2024-06-30,1,628.62,628.62
Tablet,2024-06-23,3,1034.03,3102.09
Tablet,2024-11-01,3,358.69,1076.07
Myszka,2024-05-21,2,447.31,894.62
Klawiatura,2024-01-06,1,1094.49,1094.49
Klawiatura,2024-04-07,1,2069.4,2069.4
Laptop,2024-05-03,3,1981.59,5944.7699999999995
Myszka,2024-07-27,2,352.07,704.14
Monitor,2024-10-11,3,2236.79,6710.37
Telefon,2024-12-19,3,2261.77,6785.3099999999995
Monitor,2024-11-26,1,1736.93,1736.93
Myszka,2024-09-08,2,922.95,1845.9
Monitor,2024-01-09,2,2708.98,5417.96
Laptop,2024-05-30,4,1755.26,7021.04
Telefon,2024-07-26,4,1544.92,6179.68
Myszka,2024-05-04,2,1856.75,3713.5
Tablet,2024-12-05,1,121.85,121.85
Klawiatura,2024-07-07,1,543.29,543.29
Monitor,2024-10-10,3,1514.65,4543.950000000001
Klawiatura,2024-06-25,2,641.04,1282.08
Monitor,2024-10-08,2,2437.01,4874.02
Tablet,2024-06-29,4,2700.62,10802.48
Myszka,2024-08-20,3,249.74,749.22
Tablet,2024-06-05,3,1290.15,3870.4500000000003
Tablet,2024-04-28,4,2992.04,11968.16
Laptop,2024-04-08,2,1253.78,2507.56
Tablet,2024-03-02,4,2760.45,11041.8
Myszka,2024-10-01,3,2469.51,7408.530000000001
Myszka,2024-04-04,1,1523.17,1523.17
Telefon,2024-04-20,2,2039.07,4078.14
Myszka,2024-09-04,1,2183.53,2183.53
Tablet,2024-10-28,3,1757.68,5273.04
Klawiatura,2024-11-01,3,2531.89,7595.67
Tablet,2024-02-21,1,642.43,642.43
Telefon,2024-05-31,2,2161.76,4323.52
Telefon,2024-07-03,4,1572.07,6288.28
Telefon,2024-06-03,1,1636.54,1636.54
Laptop,2024-12-28,1,1870.8,1870.8
Klawiatura,2024-03-05,4,353.14,1412.56
Tablet,2024-01-24,2,547.65,1095.3
Laptop,2024-10-10,4,1029.86,4119.44
Tablet,2024-12-23,3,250.29,750.87
Telefon,2024-11-22,2,1417.38,2834.76
Monitor,2024-02-22,1,283.79,283.79
Laptop,2024-10-20,4,685.02,2740.08
Tablet,2024-08-28,4,2448.64,9794.56
Monitor,2024-08-13,1,502.59,502.59
Tablet,2024-04-04,1,2304.66,2304.66
Laptop,2024-05-09,3,1472.18,4416.54
Monitor,2024-02-28,2,1294.34,2588.68
Laptop,2024-07-24,2,409.43,818.86
Monitor,2024-02-07,1,2508.8,2508.8
Klawiatura,2024-11-18,4,1284.7,5138.8
Myszka,2024-01-28,1,2219.52,2219.52
Telefon,2024-03-17,1,694.51,694.51
Klawiatura,2024-06-04,3,292.84,878.52
Laptop,2024-05-07,4,2192.63,8770.52
Laptop,2024-10-12,4,2541.3,10165.2
Monitor,2024-11-06,4,2501.03,10004.12
Klawiatura,2024-11-12,1,684.72,684.72
Telefon,2024-09-24,2,2492.88,4985.76
Monitor,2024-08-18,1,2462.27,2462.27
Monitor,2024-06-01,3,1937.9,5813.700000000001
Klawiatura,2024-08-07,2,1140.61,2281.22
Tablet,2024-10-18,1,1806.09,1806.09
Klawiatura,2024-01-31,2,2468.14,4936.28
Klawiatura,2024-02-20,3,2169.97,6509.91
Telefon,2024-11-16,4,1441.77,5767.08
Telefon,2024-05-15,2,1665.37,3330.74
Myszka,2024-02-11,3,1557.89,4673.67
Telefon,2024-05-02,1,1130.55,1130.55
Telefon,2024-10-09,3,1213.28,3639.84
Laptop,2024-03-21,2,293.2,586.4
Laptop,2024-07-28,4,1910.29,7641.16
